ivmeX,ivmeY,ivmeZ,GyroX,GyroY,GyroZ,A0,A1
15992,6684,48,2263,97,-2374,104,106
15460,7036,1556,1570,2545,-2192,253,126
14008,7684,2248,1622,2556,-1168,257,212
15344,9128,1252,-352,1450,584,252,218
14212,7932,1272,1406,676,-1188,248,197
15196,8432,1072,1931,75,-2804,244,229
14304,9228,2568,2117,3193,-2111,238,267
14108,9696,2744,1573,622,-1630,240,307
14292,9388,1204,80,-1357,-389,248,217
13660,9428,1300,-533,132,683,247,203
